Model,Interior LxWxH (in),Interior LxWxH (mm),Exterior LxWxH (in),Exterior LxWxH (mm),Volume,empty weight
NANUK 225,5.95 x 3.52 x 1.58,151 x 89 x 40,6.67 x 4.69 x 2.02,169 x 119 x 51,,0.45 lb | 0.20 kg
NANUK 903,7.4 x 4.9 x 3.1,188 x 124 x 79,9.1 x 6.8 x 3.8,231 x 173 x 97,1.8 L,1.3 lb | 0.6 kg
NANUK 904,8.4 x 6 x 3.7,213 x 152 x 94,10.2 x 7.9 x 4.5,259 x 201 x 114,3.1 L,1.6 lb | 0.7 kg
NANUK 905,9.4 x 7.4 x 5.5,239 x 188 x 140,12.5 x 10.1 x 6,318 x 257 x 152,6.3 L,3.3 lb | 1.5 kg
NANUK 908,9.5 x 7.5 x 7.5,241 x 190 x 190,12.5 x 9.8 x 8,318 x 249 x 203,8.8 L,3.6 lb | 1.4 kg
NANUK 909,11.4 x 7 x 3.7,291 x 178 x 93,12.6 x 9 x 4.4,321 x 229 x 111,4.8 L,2.2 lb | 0.98 kg
NANUK 910,13.2 x 9.2 x 4.1,336 x 234 x 104,14.3 x 11.1 x 4.7,363 x 282 x 120,8.2 L,3.0 lb | 1.4 kg
NANUK 915,13.8 x 9.3 x 3.2,351 x 236 x 157,15.8 x 12.1 x 6.8,391 x 307 x 173,13 L,4.4 lb | 2.0 kg
NANUK 918,14.9 x 9.8 x 8.6,378 x 249 x 218,16.9 x 12.9 x 9.3,429 x 328 x 236,20.6 L,6.4 lb | 2.9 kg
NANUK 920,15 x 10.5 x 6.2,381 x 267 x 157,16.7 x 13.4 x 6.8,424 x 340 x 173,16 L,5.1 lb | 2.3 kg
NANUK 923,16.7 x 11.3 x 5.7,422 x 287 x 137,18.6 x 14.4 x 6.3,472 x 366 x 161,16.7 L,6.0 lb | 2.7 kg
NANUK 925,17 x 11.8 x 6.4,432 x 300 x 163,18.7 x 14.8 x 7,475 x 376 x 178,21 L,6.2 lb | 2.8 kg
NANUK 930,18 x 13 x 6.9,457 x 330 x 175,19.8 x 16 x 7.6,503 x 406 x 201,26.5 L,7.1 lb | 3.2 kg
NANUK 933,18 x 13 x 9.5,457 x 330 x 241,19.9 x 16.1 x 10.1,505 x 409 x 257,36.4 L,8.0 lb | 3.6 kg
NANUK 935,20.5 x 11.3 x 7.5,521 x 287 x 191,22 x 14 x 9,559 x 356 x 229,28.5 L,11.6 lb | 5.3 kg
NANUK 938,21.5 x 12.5 x 11.6,546 x 318 x 294,23.8 x 15.5 x 13.2,605 x 394 x 336,51.1 L,14.7 lb | 6.7 kg
NANUK 940,20 x 14 x 8,508 x 356 x 203,21.7 x 16.9 x 8.5,557 x 429 x 216,36.7 L,8.4 lb | 3.8 kg
NANUK 945,22 x 17 x 8.2,559 x 432 x 208,25.1 x 19.9 x 8.8,638 x 505 x 224,50.2 L,10.6 lb | 4.8 kg
NANUK 950,20.5 x 15.3 x 10.1,521 x 389 x 257,22.8 x 18.3 x 11.7,579 x 465 x 297,51.9 L,15.1 lb | 6.8 kg
NANUK 955,22 x 17 x 10.2,559 x 432 x 259,25.6 x 20 x 11.8,650 x 508 x 300,62.5 L,18.4 lb | 8.3 kg
NANUK 960,22 x 17 x 12.9,559 x 432 x 328,25.4 x 20 x 14.5,645 x 508 x 368,79 L,19.2 lb | 8.7 kg
NANUK 962,28 x 16.5 x 9.3,711 x 419 x 236,31.1 x 19.5 x 11.1,790 x 495 x 282,70.57 L,21.2 lb | 9.6 kg
