model,interiorLIn,interiorWIn,interiorHIn,interiorLMm,interiorWMm,interiorHMm,exteriorLIn,exteriorWIn,exteriorHIn,exteriorLMm,exteriorWMm,exteriorHMm,volumeL,emptyWeightLb,emptyWeightKg
NANUK 225,5.95,3.52,1.58,151,89,40,6.67,4.69,2.02,169,119,51,,0.45,0.20
NANUK 903,7.4,4.9,3.1,188,124,79,9.1,6.8,3.8,231,173,97,1.8,1.3,0.6
NANUK 904,8.4,6,3.7,213,152,94,10.2,7.9,4.5,259,201,114,3.1,1.6,0.7
NANUK 905,9.4,7.4,5.5,239,188,140,12.5,10.1,6,318,257,152,6.3,3.3,1.5
NANUK 908,9.5,7.5,7.5,241,190,190,12.5,9.8,8,318,249,203,8.8,3.6,1.4
NANUK 909,11.4,7,3.7,291,178,93,12.6,9,4.4,321,229,111,4.8,2.2,0.98
NANUK 910,13.2,9.2,4.1,336,234,104,14.3,11.1,4.7,363,282,120,8.2,3.0,1.4
NANUK 915,13.8,9.3,3.2,351,236,157,15.8,12.1,6.8,391,307,173,13,4.4,2.0
NANUK 918,14.9,9.8,8.6,378,249,218,16.9,12.9,9.3,429,328,236,20.6,6.4,2.9
NANUK 920,15,10.5,6.2,381,267,157,16.7,13.4,6.8,424,340,173,16,5.1,2.3
NANUK 923,16.7,11.3,5.7,422,287,137,18.6,14.4,6.3,472,366,161,16.7,6.0,2.7
NANUK 925,17,11.8,6.4,432,300,163,18.7,14.8,7,475,376,178,21,6.2,2.8
NANUK 930,18,13,6.9,457,330,175,19.8,16,7.6,503,406,201,26.5,7.1,3.2
NANUK 933,18,13,9.5,457,330,241,19.9,16.1,10.1,505,409,257,36.4,8.0,3.6
NANUK 935,20.5,11.3,7.5,521,287,191,22,14,9,559,356,229,28.5,11.6,5.3
NANUK 938,21.5,12.5,11.6,546,318,294,23.8,15.5,13.2,605,394,336,51.1,14.7,6.7
NANUK 940,20,14,8,508,356,203,21.7,16.9,8.5,557,429,216,36.7,8.4,3.8
NANUK 945,22,17,8.2,559,432,208,25.1,19.9,8.8,638,505,224,50.2,10.6,4.8
NANUK 950,20.5,15.3,10.1,521,389,257,22.8,18.3,11.7,579,465,297,51.9,15.1,6.8
NANUK 955,22,17,10.2,559,432,259,25.6,20,11.8,650,508,300,62.5,18.4,8.3
NANUK 960,22,17,12.9,559,432,328,25.4,20,14.5,645,508,368,79,19.2,8.7
NANUK 962,28,16.5,9.3,711,419,236,31.1,19.5,11.1,790,495,282,70.57,21.2,9.6
NANUK 963,29,18,10.6,737,457,269,32.5,21,12.3,826,553,312,90.6,22.5,10.2
NANUK 965,29,18,14,737,457,356,32.5,21,15.8,826,536,406,119.7,25.1,11.4
NANUK 968,21.5,21.5,11.8,546,546,300,25,24.7,13.6,635,627,345,89.4,21.6,9.8
NANUK 970,24,24,14.2,610,610,361,27.5,27.2,16,699,691,406,134,26.5,12.0
NANUK 975,30,21,18,762,533,457,33.5,24.3,19.7,851,617,500,185.78,32.2,14.6
NANUK 976,31,26,15.75,787,660,400,34,29,17.75,864,737,451,208,36.6,16.6
NANUK 980,26.9,13.3,6.2,683,338,157,29.9,16.2,7.3,760,412,186,36.34,10.8,4.9
NANUK 985,36.6,14.5,6,930,368,152,39.7,17.3,6.6,1010,440,168,52.2,15.8,7.2
NANUK 988,41.7,13.6,12.5,1060,346,318,44.9,16.3,13.6,1140,413,344,116.49,24.0,10.9
NANUK 990,44,14.5,6,1118,368,152,47.1,17.3,6.6,1196,440,168,62.7,17.8,8.1
NANUK 991,44.56,17.13,8.38,1131,435,212,47.75,20.13,9.5,1212,511,241,118.8,24.0,10.9
NANUK 994 Single Rifle,51.3,10.1,6.3,1300,257,158,53.3,13.3,6.9,1353,337,175,53.5,12.0,5.45
NANUK 995,52,14.5,6,1321,368,152,55.1,17.3,6.6,1399,440,168,74.1,21.6,9.8
NANUK 996,55.12,16.12,8.93,1400,409,226,58.37,18.97,10,1482,479,254,130,28.0,12.7
NANUK T20,10.8,7.1,9,274,180,229,12.9,9.7,10.3,328,249,262,11.2,3.8,1.7
NANUK T30,14.25,6.1,11.1,363,155,282,16.5,9.3,12.5,419,236,305,15.9,5.84,2.65
NANUK Trail 10,10.8,7.1,9,274,180,229,12.9,9.7,10.3,328,249,262,11.2,5.3,2.4
NANUK Trail 15,14.25,6.1,11.1,363,155,282,16.5,9.3,12.5,419,236,305,15.9,8.2,3.7
NANUK Trail 30,20.5,11.3,7.5,559,356,229,22,14,9,559,356,229,28.5,17.2,7.8
NANUK Trail 50,21.5,12.5,11.6,546,318,294,23.8,15.5,13.2,605,394,336,51.1,19.2,8.7
NANUK Trail 80,22,17,12.9,559,432,328,25.4,20,14.5,645,508,368,79,24.5,11.7
